NOM	_1891_1900	_1901_1910	_1911_1920	_1921_1930	_1931_1940	_1941_1950	_1951_1960	_1961_1970	_1971_1980	_1981_1990	_1991_2000
FONI	0	0	2	1	5	7	3	8	4	4	3
FONJALLAZ	0	0	2	2	2	5	6	4	3	5	3
FONKENELL	2	3	6	8	3	7	5	9	3	1	3
FONKNECHTEN	8	5	1	5	5	3	11	2	5	9	4
FONLEBECK	2	6	3	8	6	13	12	23	14	17	10
FONLENO	2	3	0	8	10	4	14	6	5	4	2
FONLLADOSA	1	2	0	3	4	2	8	2	2	8	9
FONLUPT	45	60	50	80	34	83	84	47	67	63	37
FONLUT	7	3	0	8	4	1	3	2	1	3	3
FONMARTIN	0	1	8	1	1	4	0	4	4	2	6
FONMARTY	16	26	19	33	30	30	25	31	27	17	17
FONNARD	2	3	5	10	7	12	8	10	10	9	8
FONNE	15	45	21	40	57	32	52	50	36	42	45
FONNIER	2	2	2	3	1	2	6	3	2	6	2
FONOLLOSA	0	0	2	8	1	9	11	22	11	11	6
FONQUERGNE	5	5	10	13	8	14	22	14	19	19	17
FONQUERNE	5	6	14	17	8	14	20	12	19	14	8
FONQUERNIE	31	20	24	39	34	39	31	45	25	31	26
FONQUERNY	8	7	6	2	2	5	2	1	3	1	0
FONROQUES	3	5	0	1	5	7	2	14	8	7	9
FONROSE	0	8	18	12	13	18	42	27	56	46	32
FONROUGE	11	15	12	17	12	7	22	18	16	15	10
FONS	67	84	79	91	104	113	118	147	129	123	117
FONSALAS	1	6	1	7	8	2	7	3	2	4	5
FONSALE	0	0	1	4	3	1	6	5	1	4	6
FONSAT	3	15	13	19	18	21	43	49	41	45	39
FONSECA	0	0	1	21	29	19	48	185	449	325	326
FONSEGRIVE	3	4	8	13	11	12	9	7	10	11	3
FONSEGRIVES	3	1	3	9	3	7	6	4	3	4	1
FONSEQUE	4	1	2	6	1	4	5	2	1	2	5
FONSON	9	4	11	9	9	17	16	20	17	16	22
FONT	91	127	131	176	179	260	328	383	326	333	285
FONTA	65	74	52	94	57	75	71	70	70	64	57
FONTAA	0	2	1	3	3	2	2	11	4	11	8
FONTAGNE	24	25	24	29	20	43	28	33	35	23	23
FONTAGNERE	4	2	5	7	3	1	5	2	2	1	1
FONTAGNERES	10	12	13	12	7	20	11	7	16	6	7
FONTAGNOL	1	5	5	8	3	4	6	9	5	4	8
FONTAIMPE	0	7	3	5	10	6	1	7	7	1	9
FONTAINE	2434	4291	4330	5765	5821	7340	8521	8830	7769	7702	7197
FONTAINE-VIVE-CURTAZ	2	3	0	1	6	3	9	9	3	5	9
FONTAINE-VIVE-ROUX	2	3	6	9	1	3	4	5	3	4	2
FONTAINES	2	5	7	12	5	4	13	8	4	12	11
FONTALBA	5	5	5	9	8	9	10	10	7	8	6
FONTALBAT	6	15	9	6	8	11	8	10	7	4	10
FONTALIRAND	6	4	3	13	8	10	16	14	16	13	13
FONTALIRANT	5	13	20	15	17	20	22	21	12	12	12
FONTALIVE	8	2	8	10	3	15	17	14	9	7	7
FONTAN	163	231	186	251	212	280	288	303	276	216	220
FONTANA	68	138	153	282	297	301	440	491	449	385	403
FONTANARAVA	1	4	3	1	2	3	5	2	3	6	5
FONTANAROSA	3	8	15	6	4	12	4	13	7	9	7
FONTANAUD	18	41	23	28	33	36	44	42	27	27	29
FONTANAY	10	13	16	14	6	13	12	17	13	9	13
FONTANE	19	24	19	16	20	22	27	23	20	19	16
FONTANEAU	28	28	27	30	29	45	48	45	40	45	26
FONTANEIL	1	6	5	7	2	4	5	2	1	3	0
FONTANEL	101	160	129	174	168	169	154	197	144	147	141
FONTANELL	1	8	5	11	4	9	4	9	4	5	2
FONTANELLA	7	4	6	15	14	23	15	20	28	12	17
FONTANELLE	13	14	15	16	22	17	22	26	12	13	32
FONTANELLI	2	6	6	13	10	15	19	17	5	6	9
FONTANES	6	9	6	13	8	5	6	8	7	7	5
FONTANESI	0	1	4	10	3	6	11	9	8	4	7
FONTANET	33	62	68	94	55	95	96	78	81	64	41
FONTANEY	6	10	11	6	3	7	8	11	7	11	10
FONTANEZ	4	10	6	6	8	14	16	13	7	15	11
FONTANG	5	3	2	9	2	6	7	0	6	2	0
FONTANGE	8	15	18	4	16	12	11	30	14	8	16
FONTANGES	10	15	13	18	14	22	17	22	6	8	11
FONTANI	1	4	2	2	6	1	5	12	0	5	6
FONTANIE	45	73	63	58	46	63	57	46	46	42	36
FONTANIER	66	91	71	88	83	91	84	69	64	65	39
FONTANIERE	5	8	11	7	7	15	12	8	12	13	4
FONTANIEU	21	30	19	19	32	22	20	36	15	12	14
FONTANILI	0	1	3	1	6	1	1	13	7	10	5
FONTANILLAS	4	14	15	18	16	28	21	28	23	12	14
FONTANILLE	73	66	65	94	61	80	85	69	78	61	50
FONTANILLES	19	32	28	37	29	34	25	39	22	29	21
FONTANINI	7	7	14	17	18	22	33	31	24	24	17
FONTANIOL	1	1	0	5	7	7	9	7	10	10	7
FONTANIVE	0	0	0	14	11	13	36	21	28	26	20
FONTANNAZ	2	5	4	7	10	10	15	14	6	4	11
